chapter,title,word_count,characters,events,source_url,parsed_at
43,41 – His Time (2),1838,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-43,2026-05-27T17:43:59.884376
44,42 – His Time (3),1736,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-44,2026-05-27T17:43:59.888442
45,43 – His Time (4),1846,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-45,2026-05-27T17:43:59.893085
46,44 – The Devil King’s Name (1),1174,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-46,2026-05-27T17:43:59.896907
47,45.1 – The Devil King’s Name (2),1521,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-47,2026-05-27T17:43:59.900709
48,45.2 - The Devil Kings Name (2),2062,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-48,2026-05-27T17:43:59.905274
49,46 - The Devil Kings Name (3),1540,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-49,2026-05-27T17:43:59.909658
50,47 – How to Stand Against the World (1),2702,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-50,2026-05-27T17:43:59.914204
51,48.1 – How to Stand Against the World (2),1964,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-51,2026-05-27T17:43:59.918081
52,48.2 – How to Stand Against the World (2),1493,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-52,2026-05-27T17:43:59.921553
53,49 – How to Stand Against the World (3),2881,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-53,2026-05-27T17:43:59.926581
54,50 – Paradise After the End (1),2506,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-54,2026-05-27T17:43:59.931144
55,51 – Paradise After the End (2),3007,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-55,2026-05-27T17:43:59.935439
56,52 – Paradise After the End (3),4548,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-56,2026-05-27T17:43:59.941138
57,53 – The Obsessed Final King (1),3024,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-57,2026-05-27T17:43:59.945381
58,54 – The Obsessed Last King (2),3195,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-58,2026-05-27T17:43:59.949678
59,55 – The Obsessed Final King (3),2754,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-59,2026-05-27T17:43:59.954457
60,56 – Bibliomania (1),2966,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-60,2026-05-27T17:43:59.958881
61,57 – Bibliomania. (2),3581,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-61,2026-05-27T17:43:59.963681
62,58 – Bibliomania. (3),2891,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-62,2026-05-27T17:43:59.972583
63,59 – Expedition Without Hopes Or Dreams (1),3213,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-63,2026-05-27T17:43:59.977076
64,60 – Expedition without hopes or dreams (2),2252,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-64,2026-05-27T17:43:59.980988
65,61 – Expedition Without Hopes or Dreams (3),3467,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-65,2026-05-27T17:43:59.985606
66,62 – The Battle of Good and Evil (1),3156,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-66,2026-05-27T17:43:59.990540
67,63 – The Battle of Good and Evil (2),2817,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-67,2026-05-27T17:43:59.994454
68,64 – The Battle of Good and Evil (3),2656,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-68,2026-05-27T17:43:59.998467
69,65. [The Battle of Good and Evil. (4)],2832,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-69,2026-05-27T17:44:00.003006
70,66 [Heavenly Demon. (1)],3145,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-70,2026-05-27T17:44:00.007319
71,67. [Heavenly Demon. (2)],2562,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-71,2026-05-27T17:44:00.011563
72,68. [Heavenly Demon. (3)],2689,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-72,2026-05-27T17:44:00.015919
73,69. [The World of Dead Constellations. (1)],3345,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-73,2026-05-27T17:44:00.021375
74,70. [The World of Dead Constellations. (2)],2475,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-74,2026-05-27T17:44:00.026102
75,71. [The World of Dead Constellations. (3) ],3332,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-75,2026-05-27T17:44:00.031069
76,72. [The One Who Gathers Death. (1)],2214,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-76,2026-05-27T17:44:00.035793
77,73. [The One Who Gathers Death. (2)],2722,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-77,2026-05-27T17:44:00.040343
78,74. [The One Who Gathers Death. (3)],4037,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-78,2026-05-27T17:44:00.045116
79,75,2593,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-79,2026-05-27T17:44:00.049454
80,76,3585,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-80,2026-05-27T17:44:00.054814
81,77,2787,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-81,2026-05-27T17:44:00.059272
82,78. [The Scent of Snow. (1)],2830,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-82,2026-05-27T17:44:00.063521
83,79. [The Scent of Snow. (2) ],2717,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-83,2026-05-27T17:44:00.068509
84,80. [The Scent of Snow. (3)],2934,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-84,2026-05-27T17:44:00.072846
